                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.62529,                0.49918,                 0.9859,                0.98311,                0.97542,                0.98987,                0.89948,                0.46981,                 0.2949,                0.90444,             0.00027508,             0.00027508,             0.00027508
                     78,                0.63305,                0.57269,                 1.0027,                0.98475,                0.97433,                0.99055,                0.90444,                0.45769,                0.29501,                0.90226,             0.00026408,             0.00026408,             0.00026408
                     79,                0.63073,                0.50921,                0.99353,                0.98552,                0.97791,                0.99109,                0.90435,                0.44871,                0.28034,                0.89531,             0.00025309,             0.00025309,             0.00025309
                     80,                0.60764,                0.47059,                0.95948,                0.99049,                0.97808,                0.99219,                0.90595,                0.44835,                0.27855,                0.89435,             0.00024209,             0.00024209,             0.00024209
                     81,                0.60153,                0.46058,                0.97459,                 0.9852,                0.97476,                0.99079,                0.90831,                0.44033,                0.27496,                0.89152,             0.00023109,             0.00023109,             0.00023109
                     82,                0.58941,                0.46133,                0.97268,                0.98877,                0.97946,                0.99188,                0.91461,                 0.4303,                0.27268,                0.88514,             0.00022009,             0.00022009,             0.00022009
                     83,                0.58675,                0.45073,                0.96905,                0.98997,                0.98343,                0.99238,                0.91967,                0.42162,                 0.2644,                0.88221,             0.00020909,             0.00020909,             0.00020909
                     84,                 0.5728,                0.44383,                0.96735,                0.98741,                0.98272,                0.99142,                0.91938,                0.41453,                0.26291,                0.87843,             0.00019809,             0.00019809,             0.00019809
                     85,                0.57825,                0.44862,                0.96426,                0.98955,                0.97969,                0.99157,                 0.9216,                0.41062,                0.25915,                0.87375,             0.00018709,             0.00018709,             0.00018709
                     86,                0.58065,                0.44953,                0.97919,                0.99403,                0.98063,                0.99214,                0.92766,                 0.3966,                0.25573,                0.87084,             0.00017609,             0.00017609,             0.00017609
                     87,                0.56225,                0.42013,                0.94986,                0.99163,                0.98778,                0.99264,                0.92762,                0.40149,                0.25081,                0.87118,             0.00016509,             0.00016509,             0.00016509
                     88,                0.54806,                0.41542,                0.95281,                0.99148,                0.98819,                0.99293,                0.93075,                 0.3905,                0.24681,                0.86754,              0.0001541,              0.0001541,              0.0001541
                     89,                0.54079,                0.41028,                0.95488,                 0.9939,                0.98564,                0.99269,                0.93447,                0.38322,                0.24221,                0.86407,              0.0001431,              0.0001431,              0.0001431
                     90,                0.57628,                0.44743,                 0.9682,                 0.9908,                0.98461,                0.99429,                0.93925,                0.38071,                0.24175,                0.86109,              0.0001321,              0.0001321,              0.0001321
                     91,                0.55093,                0.40528,                0.94397,                0.99367,                0.97845,                0.99213,                0.92377,                0.41371,                0.25653,                0.87158,              0.0001211,              0.0001211,              0.0001211
                     92,                0.51954,                0.55071,                0.92228,                0.99444,                0.98114,                0.99228,                0.92942,                0.40166,                0.24601,                0.86719,              0.0001101,              0.0001101,              0.0001101
                     93,                0.49643,                0.35528,                0.93229,                0.99566,                0.98488,                0.99281,                0.93551,                0.39179,                0.24089,                0.86127,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.49918,                0.36932,                0.93732,                0.99436,                0.98629,                0.99284,                0.93447,                0.38801,                0.23722,                0.86085,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.48606,                0.42963,                0.90871,                0.99404,                0.98838,                 0.9937,                0.93795,                0.37687,                0.23242,                0.85626,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.48531,                0.33974,                0.92468,                0.99635,                0.98732,                0.99295,                0.94166,                0.37384,                0.23255,                0.85447,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 0.4825,                0.33693,                0.92169,                 0.9948,                0.99023,                0.99279,                0.94133,                0.37409,                0.23149,                0.85353,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.47326,                0.32885,                0.90184,                0.99688,                0.98955,                0.99309,                0.94462,                0.36528,                 0.2273,                0.85048,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.47553,                0.32251,                0.91776,                0.99579,                0.98942,                0.99322,                0.94741,                0.35919,                0.22502,                0.84789,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.47641,                0.32797,                0.92311,                0.99703,                0.98876,                0.99317,                0.94866,                0.35552,                0.22349,                0.84649,             2.2109e-05,             2.2109e-05,             2.2109e-05
