                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.67422,                0.58707,                 1.0925,                0.94902,                0.95695,                0.98512,                 0.8746,                0.51356,                0.41406,                0.96565,              0.0006536,              0.0006536,              0.0006536
                     70,                0.68804,                0.57548,                  1.091,                0.96551,                0.94548,                0.98458,                0.87152,                0.51015,                0.41445,                0.94402,              0.0006338,              0.0006338,              0.0006338
                     71,                0.65474,                0.57541,                 1.0913,                0.96896,                0.94826,                 0.9846,                0.87696,                0.49972,                0.39764,                0.94012,               0.000614,               0.000614,               0.000614
                     72,                0.64596,                0.56586,                 1.0732,                0.95998,                0.95278,                0.98456,                 0.8804,                0.48405,                0.39319,                0.93215,              0.0005942,              0.0005942,              0.0005942
                     73,                0.63935,                0.57807,                 1.0701,                0.97242,                0.94393,                 0.9852,                0.89021,                 0.4684,                0.39998,                0.92008,              0.0005744,              0.0005744,              0.0005744
                     74,                0.64126,                0.55622,                 1.0706,                0.96936,                0.95405,                0.98764,                0.89777,                0.45868,                0.38336,                0.91626,              0.0005546,              0.0005546,              0.0005546
                     75,                0.64337,                0.56411,                 1.0798,                0.97075,                0.95651,                0.98889,                0.89346,                0.46919,                0.37835,                0.92151,              0.0005348,              0.0005348,              0.0005348
                     76,                0.65214,                0.55687,                 1.0929,                0.97048,                0.96495,                0.99052,                0.89348,                0.46866,                0.36489,                0.91412,               0.000515,               0.000515,               0.000515
                     77,                0.65764,                0.56273,                 1.0828,                0.96439,                0.96573,                0.98977,                0.89165,                 0.4819,                0.36498,                0.91771,              0.0004952,              0.0004952,              0.0004952
                     78,                0.64604,                0.54545,                 1.0568,                0.96712,                0.95405,                0.98902,                0.90649,                0.43889,                0.35639,                0.90538,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61461,                0.55344,                 1.0516,                0.96793,                0.96495,                0.99006,                0.89752,                0.47382,                0.35613,                0.91172,              0.0004556,              0.0004556,              0.0004556
                     80,                0.64347,                0.54847,                 1.0692,                0.96855,                0.95952,                0.98905,                0.90955,                0.42951,                0.34678,                0.89884,              0.0004358,              0.0004358,              0.0004358
